,ticker,yearReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND)
0,REE,2024,11285775224595,5635908856765,1060073372989,3129681988376,1276815964044,183295042421,25076564658982,0,13961348221477,2542405763957,6198537115816,885254387865,36362339883577,13907555789461,4070052841712,9837502947749,22454784094116,22454784094116,0,12761421317915,3554691280888,36362339883577,243554086604,0,1379188278200,0,415591264689,4710134000000,4710134000000,9142740044801,998575490194,1254303152582,442552235390,357349937409,265849911604,36440426781,36440426781
1,REE,2023,9524178397527,3022796235406,1132366903888,3780066002722,1353834235393,235115020118,25388094448566,0,14916512381497,1345379933498,6560455882295,940677946223,34912272846093,14142171608105,3944551522493,10197620085612,20770101237988,20770101237988,0,11802464925759,3452035366916,34912272846093,184343335033,125000000,1408746219655,0,415591264689,4097142600000,4097142600000,9504888072199,706892085785,1237930873038,512950804421,348026033938,286508615133,17286556315,17286556315
2,REE,2022,8573479385227,1151270686145,1749361611727,4013295895776,1408572015872,250979175707,25341077348281,150000000,15841877918962,1456784566540,6490632669260,969213422961,33914556733508,14710864120770,4086212882813,10624651237957,19203692612738,19203692612738,0,10704620223639,3697421830798,33914556733508,300018240913,94850000000,1429139313627,0,234678637677,3564104840000,3564104840000,9945950959393,810443650832,1455134067019,583349373452,328606640226,286508615133,33290930892,33440930892
3,REE,2021,6805972262128,1830901134902,913528242575,2986542167652,799900814968,275099902031,25021031112330,0,16057664537080,1570332277547,6261443381524,688419503078,31827003374458,15469126320834,4062369793461,11406756527373,16357877053624,16357877053624,0,8963840558977,3055902366346,31827003374458,144814816021,21383880000,806472650348,0,234678637677,3100588410000,3100588410000,10739972813508,821856327767,1233985836561,308129054139,329728703772,286508615133,37189676300,37218252980
4,REE,2020,6008633765955,651668665185,1328559221660,3082281525922,807507044477,138617308711,14521819968981,0,2584784885734,1773066914071,9287154637597,550040530278,20530453734936,8317804815307,3443435067856,4874369747451,12212648919629,12212648919629,0,7114818742145,759653092112,20530453734936,575197923225,466600000000,813557931672,0,234721594748,3100588410000,3100588410000,4334710938577,790665979447,1264637519063,242735059233,273455227228,307894164509,50793122087,50818488683
5,REE,2019,5999047688457,1539577051904,1221295628590,2137973891941,987203880889,112997235133,13623717107259,0,1859029456603,1856448851637,9214040662876,587523822859,19622764795716,8521096256250,3268741496154,5252354760096,11101668539466,11101668539466,0,6005760541830,704641629219,19622764795716,230844673692,98600000000,999666629701,0,240271674291,3100588410000,3100588410000,4739198675041,966231900835,887611982957,270180813967,279357312065,791898218587,38712034275,38930286119
6,REE,2018,5987684470133,1865096744967,1138925962847,1965707145074,969073762968,48880854277,9511978637491,0,445423380673,1602831205980,6992207022164,284736124066,15499663107624,5571294773978,3056518124052,2514776649926,9928368333646,9928368333646,0,4927769386011,609526301348,15499663107624,149446477449,0,984759591543,0,240077952161,3100588410000,3100588410000,2069934163314,968365441193,1111455193347,800713326,259060220797,862146487612,32812869960,33557936547
7,REE,2017,5651352047837,2397186656336,516561743653,1130676903999,1555629874625,51296869224,8643315301095,0,492274382836,624011258648,6274300677903,88858198404,14294667348932,5601390147595,2926952955507,2674437192088,8693277201337,8693277201337,0,3642395860711,658941546295,14294667348932,172646944254,0,1580982461238,0,239845570570,3100588410000,3100588410000,2308624663112,1329501182358,672101562482,2402139980,55012405147,1099528485702,34466179457,36128142823
8,REE,2016,4105229855343,960027120496,749169998917,1148403790279,1230323799872,17305145779,7291405321230,0,528638925974,673433406527,5377448671155,103446475208,11396635176573,3675493958642,2617614139511,1057879819131,7721141217931,7721141217931,0,2765893850270,565011007076,11396635176573,252254783186,0,1256874302396,0,238118820390,3100588410000,3100588410000,899220584250,1169235526184,594470465413,20494553214,45385172163,1437605391646,34151299782,36953263496
9,REE,2015,3747405985616,1419715236964,381491325362,1368936569867,547093860649,30168992774,5861517471811,0,483507065078,584938280334,4369132998280,73935379621,9608923457427,2925903328756,2225588711837,700314616919,6683020128671,6683020128671,42598429318,2349535745815,348639776328,9608923457427,81772899224,0,589859322220,0,194784660605,2696168100000,2696168100000,561131881423,1214666814716,429904075283,47951873855,1257089501,1031513187975,33818334157,33818334157
10,REE,2014,2928594025107,1036655683725,249589701655,1029983840576,598432151160,13932647991,5474592357159,26000000000,529399795287,635021928112,4091399245546,115460403576,8403186382266,2064935777019,1529911347882,535024429137,6338250605247,6338250605247,0,1939296988440,428096959549,8403186382266,49613867487,250000000,644280881448,0,235641149751,2690705390000,2690705390000,409904067962,690740256867,300900213273,79412761129,273265509,902408727545,42815269257,68815269257
11,REE,2013,2561941483792,535795614565,416693781070,1002628925985,544225294953,62597867219,4392508231553,0,41715151193,688047083066,3628846104921,33899892373,6954449715345,1753250803816,1420506538305,332744265511,5196623129512,5196623129512,0,1353728965050,0,6954449715345,107603315922,0,587081594462,46413218136,70417784211,2636863850000,2636863850000,237768269070,562524966309,285115492833,0,467827702,854925101755,0,0
