,Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá
,CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
0,REE,2024,5,0.8701835279000001,0.6193582504,0.6217538393137078,4.767334452505173,0.2352497272,0.5806293421,130.50905858482443,96.7375459799,46.622450805,273.86905536972444,3.773095506,0.289645072780968,0.37264065800250384,0.2377701723444426,0.1100765983,0.073916367,0.0559353682,3726781195239,2428287722880,0.0143884892,2.7728817447,1.5648571864,2.3338108365,-3.2904647517601964,1.6193582503919646,32735431300000,471013400,16.4220244949,1.7320248966,3.9046675944,8.6520957523,4232.121321068573,40126.4439891264,10.0613810353
1,REE,2023,5,0.9748487398,0.6808908366,0.7181723483472998,4.40966249325136,0.2490284209,0.5572410167,128.79338379294995,106.5671372254,47.6571369246,283.01765794295,3.4250708943,0.3447317169484735,0.432902464541422,0.25534860090793415,0.1333350119,0.0937495683,0.0635890589,4218223210941,2954322664069,0.0147275405,2.4145148931,0.9487122306,1.9070128083,-3.1466457604530422,1.6808908365954096,27819598254000,409714260,12.7127845718,1.6063917565,3.2461917541,9.8764175267,5341.080045561509,42268.64320288,8.4252585002
2,REE,2022,5,1.111611002,0.7660435114,0.8249391530279924,4.077101121271284,0.2851142492,0.5875901067,91.49738030282057,80.9177956684,47.4036343206,219.81881029182057,4.5107506573,0.39087486651099645,0.4619949931536257,0.2872959175946861,0.1869268014,0.1196953973,0.0819121599,4888507707098,3663251018913,0.0176056338,2.0981479994,0.4750030326,1.4571583952,-4.149831413299507,1.7660435113928108,20244115491200,356410484,7.5186595185,1.3055437878,2.1600801854,12.9014673998,7554.538127497955,43506.7751316204,6.2378810996
3,REE,2021,5,1.3885623048,0.9456683328,0.9816472201398843,3.472911185461815,0.2219286898,0.623288367,106.27754652787223,84.4783255602,67.4113453455,258.1672174335722,4.3206348798,0.3192007340280758,0.3976085689595376,0.3193012046103635,0.1298596764,0.0654562568,0.070862098,2747241920773,1854495913044,0.013986014,1.6753699462,0.4685577125,1.2037301167,-2.7962291788078266,1.9456683327624655,22169207131500,310058841,11.9505420659,1.6666102329,3.8158224774,14.54096589,5982.992202860618,42901.4526545237,11.7617106824
4,REE,2020,5,0.8134238085000001,0.6810811373,0.21164817745473366,2.5928453244916176,0.2809116147,2.5382485817,72.98247662127191,82.0334029585,52.5615470409,207.57742662067193,4.4494070322,0.2197643403637857,0.2847404393097139,0.28867865094295386,0.1396632101,0.0695832428,0.081093186,1560933390055,1239416537637,0.0,1.7449534106,0.3149908666,1.2101091032,-2.97631991307273,1.6810811372738357,21425065913100,310058841,13.1597438745,1.8706953391,3.7989371084,34.9612326396,5250.862072931505,36938.1366149047,16.8954971901
5,REE,2019,5,0.9337343568,0.767550952,0.167454959585059,2.3569750965611593,0.2784449776,4.2438115862,74.4390011837358,99.3950794109,50.3080549269,224.1421355215358,3.6722139784,0.1935157759122397,0.2548580432768101,0.3351635763882285,0.1558621635,0.0565657875,0.0933246145,1128878693905,946259599768,0.024577573,1.83527749,0.4892797061,1.1433460782,-2.3134987642333478,1.7675509519994976,20184830549100,310058841,12.3278218944,1.9414040882,4.1279191739,63.2406329235,5285.7500119791775,33532.4317046228,21.5010384076
6,REE,2018,5,0.528921102,0.5611490818,0.044863704256772566,2.107873859564505,0.3423909797,10.8791024048,67.16260121576579,120.9136444257,43.4183454138,231.4945910552658,3.0186833069,0.17934556020344844,0.24076783187244044,0.3497534833496883,0.1916019558,0.0697785458,0.1197524378,1076084164808,914779827837,0.0276497696,1.9589887012,0.63232365,1.2754433912,-4.067000325577011,1.5611490817778766,20184830549100,310058841,11.3244097219,2.1660234693,3.9573016723,223.66910484,5753.655811920551,30055.0760050671,19.980893562
7,REE,2017,5,0.6084415309,0.6443358492,0.05662702010241773,1.8456539031239876,0.3888610483,9.7856955587,51.96663931791383,145.244420616,43.5820885532,240.79314848711385,2.5130053082,0.2188071907212961,0.286156003284626,0.27568360041005446,0.1677899706,0.0936251106,0.1072026139,1223097455198,1092979862306,0.024577573,1.9307970213,0.8316950725,1.2179933565,-10.444896301094397,1.6443358491701523,20184830549100,310058841,14.6576249748,2.512321045,4.0408668265,20.3425788059,4441.374377636276,25912.2933864092,16.9801433484
8,REE,2016,5,0.309916833,0.476029884,0.06846642368699701,1.6392614770473621,0.3484184991,7.2308987797,69.21345531834228,136.023289129,46.4370538422,251.67379828954228,2.6833640205,0.23837914627045406,0.32290686963529475,0.2987506656934752,0.1517946083,0.0946643095,0.1040902585,1011872656690,872315733857,0.024577573,1.56830978,0.4346538746,0.8733754467,-14.500051547077629,1.4760298840417927,20184830549100,310058841,18.463361816,2.8206348899,5.5159416335,29.6606949082,3525.901764197719,23079.9102124458,20.4753971177
9,REE,2015,5,0.2322554486,0.4378115392,0.07234858728072562,1.4188598729189021,0.2935118608,5.2194017853,97.65391482097657,128.5470651871,43.8092115971,270.01019160517654,2.8394269404,0.2477698167921188,0.33716572674391937,0.3227236116239308,0.1310290568,0.0853460995,0.0947232078,787661932085,654950753945,0.0153609831,1.6837818981,0.7171352784,1.332224923,-8.854662058973865,1.4378115391577986,17552054331000,269616810,20.5748636933,2.7709189147,6.6399943198,22.6628349724,3164.05498332986,23494.011194417,21.7394980679
10,REE,2014,5,0.17681666740000002,0.3257895444,0.08352459191953478,1.345662481204781,0.342420729,9.2079063614,93.55553530092172,123.0130888371,36.4305255758,252.99914971382174,2.9671639291,0.23802730357318544,0.3052268356658566,0.403885541090804,0.184132259,0.0887871896,0.1382987814,683008752002,625865772548,0.024577573,1.914224657,0.8238565404,1.4970876018,-16.728173608111724,1.325789544406714,17516492088900,269070539,16.4943196541,2.9637963984,6.6618172184,26.9990953305,3946.813288767374,21965.0715669693,25.1689903475
11,REE,2013,5,0.1463742919,0.3373827118,0.00802735741141139,1.1032856240421185,0.3567782618,57.5269420859,89.3715219039355,111.1286285309,34.213948959,234.7140993938355,3.2844821791,0.1604889422966416,0.24989787704322067,0.40433266701203757,0.2073490647,0.0677200223,0.1442571061,448508995976,387325134401,0.024577573,1.8035407896,0.7343557244,1.440180653,-6.777803641718175,1.3382632417290712,17165983663500,263686385,17.5913552473,3.3032958588,7.1127595835,-421.8466003171,3700.6813338087213,19707.5898685933,38.2548571975
